vrefdes,vpin,refdes,pin
VCOMP0,0,J2,1
VCOMP0,1,J2,2
VCOMP1,0,J4,1
VCOMP1,1,J4,2
VCOMP2,0,J5,1
VCOMP2,1,J5,2
VCOMP3,0,J6,1
VCOMP3,1,J6,2
VCOMP4,0,J7,1
VCOMP4,1,J7,2
VCOMP5,0,J8,1
VCOMP5,1,J8,2
VCOMP6,0,J9,1
VCOMP6,1,J9,2
VCOMP7,0,J10,1
VCOMP7,1,J10,2
VCOMP8,0,J11,1
VCOMP8,1,J11,2
VCOMP9,0,IC4,3
VCOMP9,1,IC4,2
VCOMP9,2,IC4,1
VCOMP9,3,IC4,8
VCOMP9,4,IC4,7
VCOMP9,5,IC4,6
VCOMP9,6,IC4,5
